Rank,   Word,Part of speech,Frequency,Dispersion
4262,   divorce,v,6086,0.97
4393,   punch,v,6071,0.92
4345,   insert,v,6067,0.94
4370,   scramble,v,6061,0.93
4416,   access,v,6023,0.92
4397,   persist,v,6013,0.93
4373,   decorate,v,5997,0.94
4355,   crush,v,5985,0.95
4585,   pat,v,5968,0.89
4563,   classify,v,5964,0.89
4527,   model,v,5925,0.91
4338,   object,v,5909,0.97
4422,   exploit,v,5909,0.94
4837,   frown,v,5903,0.83
4489,   stimulate,v,5898,0.92
4344,   spell,v,5887,0.97
4469,   disclose,v,5879,0.93
4364,   tolerate,v,5871,0.97
4478,   outline,v,5859,0.93
4415,   cheat,v,5819,0.96
4367,   harm,v,5810,0.97
4374,   sort,v,5809,0.97
4417,   heal,v,5797,0.96
4714,   sprinkle,v,5777,0.88
4402,   shed,v,5769,0.97
4884,   mutter,v,5753,0.84
4584,   boast,v,5731,0.92
4499,   compel,v,5728,0.95
4463,   counter,v,5722,0.96
4548,   distract,v,5720,0.93
4504,   proclaim,v,5716,0.95
4473,   interfere,v,5709,0.96
4482,   uncover,v,5696,0.96
4609,   sneak,v,5690,0.92
4518,   cease,v,5679,0.95
4656,   cling,v,5678,0.91
4486,   reward,v,5676,0.96
4566,   aid,v,5676,0.94
4544,   deploy,v,5674,0.94
4683,   chew,v,5669,0.91
4583,   tighten,v,5665,0.93
4577,   dip,v,5664,0.93
4564,   wound,v,5660,0.94
4560,   invade,v,5653,0.94
4496,   sacrifice,v,5641,0.96
4536,   weaken,v,5640,0.95
4607,   deem,v,5639,0.93
4571,   skip,v,5635,0.94
4698,   scratch,v,5629,0.91
4532,   envision,v,5619,0.96
4526,   shrink,v,5617,0.96
4623,   pile,v,5609,0.93
4670,   rain,v,5597,0.92
4591,   joke,v,5576,0.95
4754,   poke,v,5575,0.9
4519,   inherit,v,5563,0.97
4618,   disturb,v,5532,0.95
4576,   flood,v,5531,0.96
4639,   spare,v,5492,0.95
4664,   plunge,v,5490,0.94
4647,   regret,v,5479,0.95
4681,   thrive,v,5472,0.94
4986,   kneel,v,5467,0.86
4668,   color,v,5465,0.95
4673,   steer,v,5452,0.95
4689,   comply,v,5452,0.94
4641,   cure,v,5444,0.96
4677,   cheer,v,5442,0.95
4765,   enact,v,5441,0.92
4708,   strain,v,5435,0.94
4590,   unfold,v,5420,0.97
4793,   circle,v,5401,0.91
4911,   specify,v,5379,0.89
4755,   opt,v,5371,0.93
4802,   screw,v,5361,0.92
4927,   straighten,v,5352,0.89
4915,   articulate,v,5350,0.89
4762,   soar,v,5344,0.94
4693,   transport,v,5336,0.96
4826,   pound,v,5327,0.92
4707,   compromise,v,5322,0.96
4940,   bow,v,5293,0.9
4781,   remark,v,5289,0.94
4984,   spit,v,5286,0.89
4814,   drill,v,5279,0.93
4869,   bomb,v,5275,0.92
4766,   round,v,5247,0.95
4810,   battle,v,5240,0.94
4727,   arm,v,5232,0.97
4859,   update,v,5227,0.93
4819,   authorize,v,5209,0.94
4795,   prevail,v,5207,0.95
4786,   exhaust,v,5204,0.95
4890,   soak,v,5186,0.93
4877,   fish,v,5183,0.93
4757,   trouble,v,5177,0.97
4750,   forbid,v,5167,0.97
4898,   coordinate,v,5152,0.93
4853,   broadcast,v,5138,0.95
4923,   swell,v,5125,0.93
4893,   transmit,v,5117,0.94
4975,   trim,v,5113,0.92
4925,   soften,v,5112,0.93
4980,   drown,v,5097,0.92
4997,   kid,v,5094,0.92
4914,   crowd,v,5083,0.94
4894,   screen,v,5079,0.95
4860,   spark,v,5071,0.96
4985,   harvest,v,5065,0.93
4867,   preach,v,5063,0.96
4872,   provoke,v,5063,0.95
4838,   regain,v,5041,0.97
4886,   depart,v,5035,0.96
4858,   contemplate,v,5027,0.96
4947,   weave,v,5015,0.94
4864,   speculate,v,5012,0.97
4926,   photograph,v,5006,0.95
4856,   overwhelm,v,4976,0.97
4953,   copy,v,4970,0.95
4989,   dictate,v,4935,0.95
4913,   frustrate,v,4933,0.97
4977,   accelerate,v,4923,0.96
